id,ta,ts,tf
313,38870,125,40255
306,38420,188,40319
308,38514,177,40332
322,39904,50,40334
327,40355,15,40437
325,40071,63,40496
328,40357,46,40686
331,40462,45,40843
330,40410,61,40896
336,41323,15,41447
334,40642,114,41449
335,41182,74,41727
323,39949,262,41813
329,40410,198,41815
333,40507,206,41973
338,41598,56,42017
341,41950,32,42153
340,41854,63,42244
343,42493,16,42588
337,41571,178,42622
324,39981,411,42633
332,40472,359,42688
342,42380,127,42867
345,42797,19,42874
346,42868,20,42946
339,41621,277,42959
344,42730,67,42966
347,42877,76,43018
348,43323,188,43511
350,43633,51,43733
349,43606,165,43938
351,43751,82,43964
354,43987,2,43994
353,43918,96,44130
355,44200,47,44325
357,44269,57,44458
356,44252,76,44482
352,43816,354,44536
358,44584,156,44740
359,44903,84,45035
360,44938,403,45390
361,45542,43,45585
362,45705,11,45720
363,45710,19,45735
364,45787,37,45824
365,45874,7,45881
366,45895,6,45901
367,45905,164,46069
368,46161,49,46210
370,46274,8,46289
369,46217,315,46540
371,46720,25,46773
375,46839,8,46869
372,46722,175,47388
380,47387,3,47415
376,46957,85,47432
379,47303,34,47546
381,47394,27,47577
374,46834,159,47636
373,46761,207,47691
377,47016,140,47795
388,47796,13,47924
386,47763,22,47946
383,47661,61,48071
384,47731,58,48141
389,47879,63,48272
378,47160,219,48411
393,48519,11,48598
382,47462,219,48641
397,48670,2,48703
396,48654,17,48812
399,48907,4,48940
391,48505,70,49026
390,48456,93,49111
385,47742,227,49122
400,49073,28,49274
403,49469,3,49497
402,49349,45,49686
392,48507,166,49704
387,47788,311,49751
406,49887,1,49908
404,49630,44,49916
394,48633,205,50041
395,48644,213,50094
401,49097,180,50182
410,50218,6,50260
407,50057,47,50283
409,50212,20,50323
408,50151,36,50331
398,48882,248,50371
405,49712,232,50667
413,50609,71,50894
411,50251,218,51040
412,50403,193,51089
414,50682,136,51153
415,50868,191,51344
417,51341,1,51345
416,51169,106,51363
419,51541,16,51570
420,51566,50,51668
421,51764,12,51784
422,51788,61,51909
418,51526,324,51989
423,52372,15,52387
426,52514,9,52544
428,52566,23,52663
424,52499,103,52846
427,52552,73,52851
430,52814,27,52910
429,52643,126,53056
432,53098,30,53190
433,53237,23,53305
425,52512,270,53311
431,52971,129,53312
435,53387,81,53548
436,53563,9,53581
434,53383,113,53586
437,53865,239,54104
438,54175,106,54281
439,54355,45,54400
440,54414,61,54475
441,54483,117,54600
444,54739,38,54854
445,54851,10,54884
443,54716,83,54927
442,54676,210,55021
446,55015,119,55256
447,55046,90,55266
448,55173,52,55310
449,55218,35,55313
451,55536,20,55574
450,55470,116,55606
452,55724,15,55739
453,55782,16,55798
454,55951,20,55971
455,56111,72,56183
456,56203,12,56215
459,56595,9,56625
458,56568,30,56635
461,56730,41,56856
457,56536,175,56903
460,56638,159,56950
462,57070,1,57071
463,57135,46,57249
464,57136,62,57283
465,57178,221,57464
466,57628,127,57755
467,57910,197,58107
468,58130,27,58157
469,58187,12,58199
473,58775,51,58980
472,58676,86,58986
475,59047,10,59092
471,58596,166,59094
474,59022,38,59128
477,59260,10,59290
476,59219,42,59312
470,58477,485,59369
478,59361,24,59405
479,59369,101,59490
480,59902,13,59927
482,60032,56,60143
481,59903,189,60160
483,60498,28,60526
486,60737,2,60744
485,60668,53,60797
487,60744,99,61060
489,61013,38,61202
493,61199,6,61244
494,61245,14,61338
484,60630,244,61406
491,61057,107,61601
496,61598,5,61638
490,61052,133,61763
501,61836,10,61929
495,61497,97,62166
488,60779,277,62195
504,62199,7,62262
498,61629,104,62414
492,61171,217,62667
500,61694,128,62775
511,62763,1,62804
502,62099,88,62940
505,62222,69,62941
510,62692,42,63147
512,62846,54,63477
508,62416,101,63538
516,63247,27,63597
506,62268,144,63873
515,63147,57,63906
517,63334,43,63909
513,62965,78,63939
522,63818,31,64194
519,63601,54,64272
507,62303,192,64472
521,63672,67,64487
523,64171,36,64579
526,64427,23,64690
527,64704,9,64831
530,64942,2,64985
509,62617,209,65014
525,64327,71,65121
532,65058,26,65431
536,65325,13,65572
533,65117,32,65584
537,65337,16,65592
503,62186,314,65838
535,65195,42,65844
499,61631,400,65932
538,65384,49,66113
534,65145,69,66154
540,65885,31,66361
524,64282,165,66462
539,65475,73,66631
497,61612,447,66646
518,63343,253,66647
514,63041,283,66690
542,66034,38,66692
541,65973,52,66784
549,66222,44,66888
544,66109,56,66936
531,65027,139,66991
547,66179,63,67066
546,66125,72,67106
543,66077,92,67250
520,63650,297,67327
529,64767,210,67413
528,64738,216,67441
551,67014,54,67507
550,66836,76,67523
557,67497,6,67561
554,67322,28,67573
548,66191,127,67608
559,67712,2,67734
565,68237,3,68281
555,67355,131,68492
564,68218,24,68512
553,67320,139,68547
566,68262,21,68568
563,68062,50,68674
556,67458,135,68681
569,68474,16,68685
562,67945,71,68756
572,68675,6,68770
560,67714,105,68795
570,68482,32,68863
567,68325,45,68884
545,66117,271,68915
568,68429,45,68948
552,67199,196,68960
573,68722,58,69126
571,68539,107,69277
575,69178,86,69563
558,67626,278,69577
561,67903,272,69677
574,68870,213,69742
576,69479,226,69884
579,70107,15,70150
577,69951,178,70184
578,70090,76,70248
582,70275,3,70283
583,70291,22,70357
585,70455,49,70658
580,70190,173,70699
584,70350,148,70795
581,70262,186,70801
586,70990,110,71152
587,71058,115,71295
590,71303,47,71442
591,71467,93,71827
589,71278,167,71838
593,71860,1,71867
588,71127,270,71909
594,71923,34,71991
592,71518,184,72023
595,71998,186,72197
596,72458,77,72535
598,73090,18,73124
597,72990,136,73144
599,73430,80,73510
600,74220,21,74241
601,74300,43,74343
602,74344,36,74380
605,74738,48,74878
604,74631,121,74931
606,74912,49,75064
607,74913,118,75262
603,74574,402,75564
609,75344,111,75739
611,75557,81,75852
610,75497,152,75980
612,75913,52,76040
613,76044,3,76047
608,75084,355,76066
615,76230,75,76378
614,76223,97,76395
616,76403,59,76462
617,76642,199,76969
