id,ta,ts,tf
308,38514,177,40324
327,40355,15,40378
328,40357,46,40613
331,40462,45,40632
330,40410,61,40831
334,40642,114,41017
313,38870,125,41022
306,38420,188,41079
299,37970,286,41173
335,41182,74,41256
336,41323,15,41338
300,38045,192,41353
329,40410,198,41431
333,40507,206,41517
338,41598,56,41710
341,41950,32,41982
340,41854,63,41989
323,39949,262,42251
343,42493,16,42509
342,42380,127,42523
339,41621,277,42592
344,42730,67,42797
345,42797,19,42816
346,42868,20,42896
347,42877,76,42964
324,39981,411,42990
332,40472,359,43016
337,41571,178,43018
348,43323,188,43511
350,43633,51,43716
351,43751,82,43898
354,43987,2,43989
349,43606,165,44031
353,43918,96,44071
355,44200,47,44247
356,44252,76,44384
357,44269,57,44385
352,43816,354,44536
358,44584,156,44740
359,44903,84,45043
360,44938,403,45390
361,45542,43,45585
362,45705,11,45724
363,45710,19,45735
364,45787,37,45824
365,45874,7,45881
366,45895,6,45901
367,45905,164,46069
368,46161,49,46210
370,46274,8,46282
369,46217,315,46540
371,46720,25,46802
375,46839,8,46850
376,46957,85,47245
379,47303,34,47337
380,47387,3,47390
381,47394,27,47421
377,47016,140,47616
386,47763,22,47818
388,47796,13,47855
384,47731,58,47920
372,46722,175,48090
383,47661,61,48095
389,47879,63,48294
374,46834,159,48333
373,46761,207,48359
393,48519,11,48564
397,48670,2,48672
396,48654,17,48697
390,48456,93,48821
391,48505,70,48835
399,48907,4,48911
400,49073,28,49125
392,48507,166,49277
402,49349,45,49394
403,49469,3,49472
385,47742,227,49555
382,47462,219,49557
404,49630,44,49674
406,49887,1,49888
401,49097,180,49948
378,47160,219,49984
407,50057,47,50104
394,48633,205,50111
408,50151,36,50187
410,50218,6,50226
409,50212,20,50238
395,48644,213,50530
413,50609,71,50680
387,47788,311,50999
412,50403,193,51072
405,49712,232,51080
398,48882,248,51137
414,50682,136,51153
416,51169,106,51275
417,51341,1,51342
411,50251,218,51358
415,50868,191,51363
419,51541,16,51581
420,51566,50,51655
421,51764,12,51776
422,51788,61,51849
418,51526,324,51989
423,52372,15,52387
426,52514,9,52561
428,52566,23,52621
427,52552,73,52812
430,52814,27,52841
424,52499,103,52861
432,53098,30,53128
429,52643,126,53198
433,53237,23,53260
431,52971,129,53262
425,52512,270,53312
434,53383,113,53552
436,53563,9,53572
435,53387,81,53586
437,53865,239,54104
438,54175,106,54281
439,54355,45,54400
440,54414,61,54475
441,54483,117,54600
445,54851,10,54861
444,54739,38,54867
443,54716,83,54943
448,55173,52,55249
449,55218,35,55260
