id,ta,ts,tf
1,209,46,255
2,336,220,556
3,486,82,638
4,772,165,937
6,909,67,1004
8,1013,17,1030
7,935,144,1165
10,1165,14,1179
5,825,188,1367
11,1509,14,1523
9,1084,219,1600
12,1631,2,1633
13,2138,46,2184
17,2217,10,2227
14,2153,44,2238
16,2216,74,2312
19,2352,36,2388
15,2196,115,2463
18,2337,101,2564
21,2514,69,2633
23,2686,14,2700
24,2734,15,2749
20,2481,146,2808
22,2662,218,3026
25,2970,123,3149
26,3119,149,3298
28,3356,35,3391
27,3159,184,3517
30,3682,23,3705
29,3551,216,3790
31,3985,26,4011
32,4057,83,4140
35,4371,73,4444
33,4334,118,4525
34,4360,99,4624
38,4599,48,4672
37,4579,49,4721
39,4763,74,4837
36,4505,177,4972
41,4998,53,5051
40,4983,123,5159
42,5196,66,5262
44,6165,17,6182
45,6191,44,6235
43,6120,113,6294
46,6625,233,6858
47,7050,7,7057
49,7591,15,7606
48,7589,19,7623
50,7668,32,7700
51,7686,93,7793
53,7828,74,7902
52,7708,114,7981
56,8235,12,8247
55,8201,50,8263
54,8104,158,8324
57,8296,68,8392
58,8743,153,8896
59,8807,105,9001
60,8980,70,9071
62,9328,7,9335
61,9032,446,9524
63,9600,221,9821
64,9802,29,9850
66,10034,23,10057
65,9858,302,10183
68,10300,18,10318
67,10227,118,10363
69,10411,38,10449
71,10602,62,10664
70,10448,272,10783
72,10874,47,10921
73,10935,65,11000
74,10993,33,11033
75,11330,53,11383
76,11446,28,11474
77,11466,94,11568
78,11482,240,11808
79,11836,66,11902
80,11912,66,11978
82,12220,20,12240
81,12028,272,12320
83,12297,62,12382
85,12539,6,12545
84,12457,141,12604
86,12621,206,12827
87,12845,15,12860
88,13011,62,13073
89,13221,118,13339
91,13378,69,13447
92,13424,24,13471
93,13527,73,13600
90,13282,181,13686
94,13604,97,13783
95,14085,4,14089
98,14254,41,14295
97,14183,158,14382
99,14411,115,14526
96,14183,201,14698
100,14648,145,14843
102,14837,58,14901
104,15040,20,15060
107,15102,4,15106
103,15023,66,15113
105,15052,66,15179
101,14809,254,15311
106,15092,133,15444
108,15388,96,15540
109,15539,98,15638
111,15649,131,15780
114,15834,24,15858
112,15652,144,15948
117,15995,13,16008
118,16067,57,16124
110,15541,190,16197
120,16191,20,16217
119,16175,36,16253
121,16193,71,16324
123,16352,45,16397
122,16307,76,16445
124,16469,65,16534
127,16569,9,16578
125,16491,70,16613
126,16552,75,16688
116,15894,223,16887
128,16985,148,17133
113,15718,266,17301
130,17395,26,17421
115,15861,274,17601
132,17858,71,17929
134,18046,3,18049
129,17269,413,18088
135,18056,136,18224
133,17952,144,18368
136,18576,90,18666
137,18723,55,18778
131,17767,414,18927
139,18932,1,18933
140,18935,109,19044
144,19138,3,19141
141,18941,161,19208
145,19206,105,19313
143,19117,131,19444
147,19493,46,19539
148,19593,28,19621
142,19069,137,19655
149,19675,115,19790
146,19407,215,19985
153,19995,109,20104
154,20218,34,20252
152,19936,209,20337
157,20405,73,20478
158,20488,3,20491
155,20336,157,20570
161,20632,26,20658
160,20607,59,20692
162,20690,47,20739
164,20733,38,20777
165,20815,3,20818
163,20721,116,20896
166,20863,120,21016
167,20988,45,21061
168,21045,30,21091
159,20588,199,21271
169,21183,108,21379
156,20367,230,21591
170,21789,15,21804
150,19757,275,21881
171,21943,12,21955
172,22012,38,22050
138,18724,283,22207
175,22286,11,22297
174,22115,100,22318
176,22295,27,22345
177,22299,53,22398
178,22483,5,22488
173,22101,113,22516
180,22765,19,22784
151,19887,328,22863
181,22804,225,23088
182,23027,181,23269
183,23456,220,23676
184,23677,48,23725
185,23771,7,23778
186,23943,56,23999
187,23973,55,24054
188,24115,4,24119
179,22570,481,24140
191,24258,13,24271
190,24242,30,24285
192,24262,75,24360
194,24393,13,24406
189,24207,174,24512
193,24352,171,24683
198,24921,6,24927
197,24876,88,24970
196,24739,230,25063
199,24989,193,25256
195,24422,324,25524
200,25463,81,25605
201,25612,68,25680
202,25794,128,25922
204,25894,35,25957
203,25890,252,26209
208,26341,20,26361
207,26315,83,26418
206,26261,149,26513
205,25897,304,26765
209,26739,156,26921
210,26969,46,27015
211,27291,22,27313
213,27432,2,27434
212,27352,220,27574
214,27581,36,27617
216,27629,20,27649
215,27585,203,27840
218,27943,8,27951
217,27941,24,27973
219,27951,34,28007
220,28116,73,28189
221,28555,28,28583
222,28644,44,28688
224,28814,110,28924
223,28762,163,29035
227,29010,26,29061
228,29095,38,29133
229,29148,152,29300
231,29353,33,29386
225,28853,258,29542
233,29501,53,29595
232,29400,181,29776
230,29317,242,30018
234,29935,328,30346
235,30318,220,30566
236,30634,7,30641
237,30699,27,30726
239,30737,1,30738
240,30797,27,30824
238,30721,104,30858
242,31038,65,31103
241,30974,187,31226
243,31118,118,31344
245,31497,18,31515
226,28918,494,31614
249,31621,45,31666
248,31614,70,31729
246,31590,87,31816
247,31610,135,31951
250,31754,154,32105
251,31814,156,32261
254,32316,37,32353
256,32429,8,32437
253,32015,165,32471
252,31869,192,32663
259,32776,19,32795
257,32531,134,32816
258,32688,123,32939
261,32947,4,32951
260,32907,33,32976
263,33012,25,33037
262,32948,69,33070
264,33102,59,33161
265,33283,18,33301
244,31478,210,33357
266,33286,73,33430
267,33654,38,33692
255,32414,400,33868
269,33836,83,33951
268,33785,92,34043
271,34058,47,34105
270,33845,102,34192
273,34483,11,34494
272,34450,165,34626
275,34694,35,34729
276,34878,9,34887
274,34694,258,34996
277,34967,109,35105
278,35732,19,35751
279,35792,24,35816
280,35807,28,35844
281,35918,59,35977
283,36020,68,36088
284,36107,8,36115
285,36130,12,36142
286,36136,76,36218
282,35936,229,36370
287,36454,103,36557
289,36747,38,36785
290,36807,5,36812
288,36464,229,36829
291,36974,51,37025
292,37066,23,37089
293,37251,20,37271
294,37254,80,37351
295,37600,50,37650
296,37829,68,37897
297,37832,77,37974
298,37962,123,38097
301,38063,104,38201
303,38269,39,38308
302,38265,74,38378
305,38411,37,38448
304,38324,71,38486
307,38480,73,38559
309,38582,36,38618
300,38045,192,38723
311,38814,51,38865
310,38764,134,38949
312,38864,96,39045
316,39083,11,39094
315,38956,111,39167
317,39152,64,39231
318,39226,23,39254
314,38896,113,39367
319,39350,18,39385
313,38870,125,39510
320,39537,25,39562
308,38514,177,39671
321,39693,18,39711
306,38420,188,39877
322,39904,50,39954
326,40118,5,40123
325,40071,63,40139
299,37970,286,40281
327,40355,15,40370
328,40357,46,40416
330,40410,61,40477
