id,ta,ts,tf
1,209,46,255
2,336,220,556
3,486,82,638
4,772,165,937
5,825,188,1125
8,1013,17,1142
6,909,67,1209
10,1165,14,1223
7,935,144,1367
9,1084,219,1586
11,1509,14,1600
12,1631,2,1633
13,2138,46,2184
14,2153,44,2228
17,2217,10,2238
15,2196,115,2353
16,2216,74,2427
19,2352,36,2463
18,2337,101,2564
21,2514,69,2633
20,2481,146,2779
23,2686,14,2793
24,2734,15,2808
22,2662,218,3026
25,2970,123,3149
26,3119,149,3298
27,3159,184,3482
28,3356,35,3517
29,3551,216,3767
30,3682,23,3790
31,3985,26,4011
32,4057,83,4140
33,4334,118,4452
35,4371,73,4525
34,4360,99,4624
37,4579,49,4673
38,4599,48,4721
36,4505,177,4898
39,4763,74,4972
40,4983,123,5106
41,4998,53,5159
42,5196,66,5262
43,6120,113,6233
44,6165,17,6250
45,6191,44,6294
46,6625,233,6858
47,7050,7,7057
48,7589,19,7608
49,7591,15,7623
50,7668,32,7700
51,7686,93,7793
52,7708,114,7907
53,7828,74,7981
54,8104,158,8262
56,8235,12,8274
55,8201,50,8324
57,8296,68,8392
58,8743,153,8896
59,8807,105,9001
60,8980,70,9071
61,9032,446,9517
62,9328,7,9524
63,9600,221,9821
64,9802,29,9850
65,9858,302,10160
66,10034,23,10183
67,10227,118,10345
68,10300,18,10363
69,10411,38,10449
70,10448,272,10721
71,10602,62,10783
72,10874,47,10921
73,10935,65,11000
74,10993,33,11033
75,11330,53,11383
76,11446,28,11474
77,11466,94,11568
78,11482,240,11808
79,11836,66,11902
80,11912,66,11978
81,12028,272,12300
82,12220,20,12320
83,12297,62,12382
84,12457,141,12598
85,12539,6,12604
86,12621,206,12827
87,12845,15,12860
88,13011,62,13073
89,13221,118,13339
90,13282,181,13520
92,13424,24,13544
91,13378,69,13613
93,13527,73,13686
94,13604,97,13783
95,14085,4,14089
96,14183,201,14384
98,14254,41,14425
97,14183,158,14583
99,14411,115,14698
100,14648,145,14843
101,14809,254,15097
102,14837,58,15155
107,15102,4,15159
104,15040,20,15179
103,15023,66,15245
105,15052,66,15311
106,15092,133,15444
108,15388,96,15540
109,15539,98,15638
110,15541,190,15828
111,15649,131,15959
114,15834,24,15983
112,15652,144,16127
117,15995,13,16140
113,15718,266,16406
120,16191,20,16426
119,16175,36,16462
118,16067,57,16519
121,16193,71,16590
123,16352,45,16635
127,16569,9,16644
122,16307,76,16720
124,16469,65,16785
125,16491,70,16855
116,15894,223,17078
126,16552,75,17153
115,15861,274,17427
128,16985,148,17575
130,17395,26,17601
129,17269,413,18014
132,17858,71,18085
134,18046,3,18088
133,17952,144,18232
135,18056,136,18368
131,17767,414,18782
136,18576,90,18872
137,18723,55,18927
138,18724,283,19210
139,18932,1,19211
144,19138,3,19214
140,18935,109,19323
141,18941,161,19484
142,19069,137,19621
145,19206,105,19726
147,19493,46,19772
148,19593,28,19800
143,19117,131,19931
146,19407,215,20146
149,19675,115,20261
153,19995,109,20370
154,20218,34,20404
150,19757,275,20679
158,20488,3,20682
157,20405,73,20755
161,20632,26,20781
152,19936,209,20990
165,20815,3,20993
164,20733,38,21031
162,20690,47,21078
160,20607,59,21137
155,20336,157,21294
168,21045,30,21324
167,20988,45,21369
163,20721,116,21485
166,20863,120,21605
156,20367,230,21835
159,20588,199,22034
170,21789,15,22049
171,21943,12,22061
169,21183,108,22169
151,19887,328,22497
175,22286,11,22508
172,22012,38,22546
178,22483,5,22551
176,22295,27,22578
177,22299,53,22631
174,22115,100,22731
173,22101,113,22844
180,22765,19,22863
179,22570,481,23344
181,22804,225,23569
182,23027,181,23750
184,23677,48,23798
185,23771,7,23805
183,23456,220,24025
186,23943,56,24081
187,23973,55,24136
188,24115,4,24140
189,24207,174,24381
191,24258,13,24394
190,24242,30,24424
194,24393,13,24437
192,24262,75,24512
193,24352,171,24683
195,24422,324,25007
198,24921,6,25013
197,24876,88,25101
196,24739,230,25331
199,24989,193,25524
200,25463,81,25605
201,25612,68,25680
202,25794,128,25922
204,25894,35,25957
203,25890,252,26209
205,25897,304,26513
208,26341,20,26533
207,26315,83,26616
206,26261,149,26765
209,26739,156,26921
210,26969,46,27015
211,27291,22,27313
212,27352,220,27572
213,27432,2,27574
214,27581,36,27617
215,27585,203,27820
216,27629,20,27840
217,27941,24,27965
218,27943,8,27973
219,27951,34,28007
220,28116,73,28189
221,28555,28,28583
222,28644,44,28688
223,28762,163,28925
224,28814,110,29035
227,29010,26,29061
225,28853,258,29319
228,29095,38,29357
229,29148,152,29509
231,29353,33,29542
226,28918,494,30036
233,29501,53,30089
232,29400,181,30270
230,29317,242,30512
234,29935,328,30840
239,30737,1,30841
236,30634,7,30848
237,30699,27,30875
240,30797,27,30902
235,30318,220,31122
238,30721,104,31226
242,31038,65,31291
241,30974,187,31478
243,31118,118,31596
245,31497,18,31614
244,31478,210,31824
249,31621,45,31869
248,31614,70,31939
246,31590,87,32026
247,31610,135,32161
250,31754,154,32315
251,31814,156,32471
256,32429,8,32479
254,32316,37,32516
252,31869,192,32708
253,32015,165,32873
259,32776,19,32892
257,32531,134,33026
261,32947,4,33030
260,32907,33,33063
258,32688,123,33186
263,33012,25,33211
262,32948,69,33280
264,33102,59,33339
265,33283,18,33357
255,32414,400,33757
266,33286,73,33830
267,33654,38,33868
268,33785,92,33960
269,33836,83,34043
270,33845,102,34145
271,34058,47,34192
272,34450,165,34615
273,34483,11,34626
274,34694,258,34952
276,34878,9,34961
275,34694,35,34996
277,34967,109,35105
278,35732,19,35751
279,35792,24,35816
280,35807,28,35844
281,35918,59,35977
282,35936,229,36206
284,36107,8,36214
285,36130,12,36226
283,36020,68,36294
286,36136,76,36370
287,36454,103,36557
288,36464,229,36786
289,36747,38,36824
290,36807,5,36829
291,36974,51,37025
292,37066,23,37089
293,37251,20,37271
294,37254,80,37351
295,37600,50,37650
296,37829,68,37897
297,37832,77,37974
298,37962,123,38097
299,37970,286,38383
301,38063,104,38487
303,38269,39,38526
302,38265,74,38600
305,38411,37,38637
304,38324,71,38708
309,38582,36,38744
300,38045,192,38936
307,38480,73,39009
311,38814,51,39060
306,38420,188,39248
316,39083,11,39259
308,38514,177,39436
318,39226,23,39459
312,38864,96,39555
319,39350,18,39573
317,39152,64,39637
314,38896,113,39750
320,39537,25,39775
310,38764,134,39909
321,39693,18,39927
315,38956,111,40038
313,38870,125,40163
326,40118,5,40168
322,39904,50,40218
325,40071,63,40281
323,39949,262,40543
327,40355,15,40558
328,40357,46,40604
